OfferID,ZoneID,TPNB
R30883049,12,051590098
R30883049,13,051590098
R30883050,12,052061602
R30883050,13,052061602
R29032445,12,063072516
R29032446,12,064881419
R29032485,12,066394889
R29029470,12,066367922
R29029485,12,066372116
R29032426,12,061587099
R29032465,12,070016031
R29032488,12,066394906
R29637630,12,061926344
R29637630,13,061926344
R29697965,12,071526658
R29697965,13,071526658
R30241105,12,053028676
R30241105,13,053028676
R30317486,13,070501390
R30317486,12,070501390
R30317585,12,070501349
R30317585,13,070501349
R30317608,12,070501257
R30317608,13,070501257
R30317631,12,070501303
R30317631,13,070501303
R30317633,12,070501228
R30317633,13,070501228
R30317645,13,070501274
R30317645,12,070501274
R30317725,12,070501729
R30317725,13,070501729
R30317606,13,064420471
R30317606,12,064420471
R30317705,12,064420367
R30317705,13,064420367
R30317586,13,070501695
R30317586,12,070501695
R30317565,12,064420655
R30317565,13,064420655
R30317488,13,070501770
R30317488,12,070501770
R30317505,13,070501464
R30317505,12,070501464
R30317587,12,070501159
R30317587,13,070501159
R30317686,13,070501194
R30317686,12,070501194
R30317525,12,070501211
R30317525,13,070501211
R30317605,13,070501136
R30317605,12,070501136
R30317609,13,070501263
R30317609,12,070501263
R30317626,13,070501741
R30317626,12,070501741
R30317666,13,070501424
R30317666,12,070501424
A30449849,9,070213039
A30449849,5,070213039
A30449849,6,070213039
A30449849,15,070213039
A30449849,8,070213039
A30449849,7,070213039
R30870966,13,074760945
R30870966,12,074760945
R30871005,12,074761005
R30871005,13,074761005
A30449861,8,070323957
A30449861,15,070323957
A30449861,5,070323957
A30449861,6,070323957
A30449861,9,070323957
A30449861,7,070323957
A30449853,15,070213235
A30449853,8,070213235
A30449853,7,070213235
A30449853,6,070213235
A30449853,5,070213235
A30449853,9,070213235
A30451905,8,070323963
A30451905,7,070323963
A30451905,5,070323963
A30451905,6,070323963
A30451905,15,070323963
A30451905,9,070323963
R30504985,13,059201678
R30504985,12,059201678
A30527086,7,073397490
A30527086,9,073397490
A30527086,5,073397490
A30527086,6,073397490
A30491325,9,071170980
A30491325,5,071170980
